c_personid,Rank,Lindex,friend,enemy,c_index_year,c_birthyear,c_deathyear,c_death_age,c_fl_earliest_year,c_fl_latest_year,choronym,Lu,entrytype,Longitude,Latitude
98110,5.5,1144,0,0,0,0,0,0,1115,1117,0,0,0,0,0
98355,7.5,1149,0,0,0,0,0,0,1120,1123,0,0,0,0,0
98562,4.5,1143,0,0,0,0,0,0,1114,1133,0,0,0,0,0
98566,4.5,1140,0,0,0,0,0,0,1111,1105,0,0,0,0,0
98607,8,1140,0,0,0,0,0,0,1111,1127,0,0,0,0,0
99317,5.5,1143,0,0,0,0,0,0,1114,1118,0,0,0,0,0
99365,6.5,1149,0,0,0,0,0,0,1120,1124,0,0,0,0,0
99762,6,1148,0,0,0,0,0,0,1119,1129,0,0,0,0,0
99960,7.5,1145,0,0,0,0,0,0,0,1145,0,0,0,0,0
385260,5,1140,0,0,1140,0,0,0,0,0,0,L11026,E11026,114.34333,34.785477
386292,7.5,1148,0,0,1148,0,0,0,0,0,0,L12753,E12753,120.071625,29.300087
386579,8.5,1146,0,0,1146,0,0,0,0,0,0,L12753,E12753,120.071625,29.300087
