c_personid,Rank,Friend,Enemy,Lindex,c_index_year,c_birthyear,c_deathyear,c_death_age,c_fl_earliest_year,c_fl_ey_nh_code,c_fl_latest_year,c_choronym_code,LU,c_entry_code,Longitude,Latitude,RankD,Rank9
336,3.5,78.66256383,0,1165,1165,1106,1173,68,0,0,0,27,12753,36,120.025253,28.897268,7,3
707,4.5,54.10915368,0,1167,1167,0,0,0,1165,543,0,8,12669,0,119.4442902,32.20648956,9,4
44287,6.5,0,0,1068,1068,0,0,0,1068,528,0,0,0,0,0,0,13,6
43964,6,38.36972658,0,1235,1235,0,0,0,0,0,0,0,12907,165,115.785782,28.197754,12,6
19997,2,0,0,1232,1232,0,0,0,0,0,0,21,12669,118,120.168625,30.294125,4,2
41472,8,0,0,1218,0,0,0,0,1248,554,0,0,12753,0,120.025253,28.897268,16,8
48889,5.5,67.13192142,0,986,986,948,986,39,0,0,0,0,11027,0,114.524528,34.673195,11,5
19530,2,79.9523408,43.56871731,1209,1209,0,0,0,0,0,0,0,12907,36,114.7789,28.393312,4,2
823,3,0,38.74428161,1154,1154,0,0,0,1124,538,0,0,12753,165,119.913009,28.448732,6,3
420613,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,9
8080,2,63.79992343,0,984,984,928,984,57,0,0,0,0,11027,36,113.962967,35.051949,4,2
425966,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,8
1308,6,0,0,1102,1102,0,0,0,0,0,0,0,0,0,0,0,12,6
24417,5.5,39.88349068,0,1232,1232,0,0,50,0,0,0,0,12669,36,120.26609,31.90877,11,5
27516,9,80.58584342,0,1262,1262,0,0,0,0,0,0,0,13867,36,118.026779,27.756025,18,9
50766,4,70.49828616,0,1106,1106,1058,1106,49,0,0,0,0,13867,0,118.589905,24.909641,8,4
42256,5,0,0,1098,0,0,0,0,1128,540,0,0,0,0,0,0,10,5
39889,8.5,0,0,0,0,0,0,0,1127,540,0,0,0,0,0,0,17,8
48871,6,0,0,0,0,0,0,0,0,0,0,0,12907,0,115.342766,26.321701,12,6
43642,7,0,0,1100,1100,0,0,0,1100,532,0,0,13867,165,119.321577,26.073954,14,7
425971,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,8
